Name,Pos,Avg Pts,Rush Yds/Gm,Rush Att/Gm,Rush Yds/ Att,Rec Yds/Gm,Opp Rank ,Opp PosRank,Opp,Pts Scored,Over 12 Pts?
Todd Gurley,RB,25.8,103.83,21.5,4.83,41.17,28,32,DEN,34.5,Y
Melvin Gordon,RB,22.1,77.67,15.17,5.12,46.5,29,30,CLE,33,Y
Saquon Barkley,RB,19.5,73,14,5.21,62.17,15,5,PHI,28.9,Y
David Johnson,RB,12.5,49.5,15.33,3.23,22.5,18,10,MIN,11,N
Matt Breida,RB,11.7,71.67,10.5,6.83,15,11,19,GB,12.1,Y
Adrian Peterson,RB,12.7,67.8,15.4,4.4,27.2,4,7,CAR,9.7,N
Joe Mixon,RB,15.4,84,17.75,4.73,24.75,22,13,PIT,14.4,Y
Phillip Lindsay,RB,9.7,57.67,10.17,5.67,18.83,14,15,LAR,6.6,N
Kenyan Drake ,RB,7.6,35,8.67,4.04,24.17,3,2,CHI,5.8,N
Ezekiel Elliot,RB,16.2,97.67,19.5,5.01,27.67,5,22,JAX,17.7,Y
Kareem Hunt,RB,16.5,76,17.17,4.43,28.5,21,18,NE,24.5,Y
Isaiah Crowell,RB,13,71.67,11.67,6.14,8,24,16,IND,5.2,N
Chris Carson,RB,9.1,70.4,15.6,4.51,12.2,27,29,OAK,5.9,N
Jordan Howard,RB,7.8,54.4,15.6,3.49,15.6,26,21,MIA,4.9,N
Aaron Jones,RB,7.2,47,8,5.88,10.25,20,14,SAN,4.1,N
Derrick Henry,RB,4.3,40,12,3.33,2.83,1,6,BAL,2.6,N
Wendell Smallwood,RB,7,33.5,7.17,4.67,16,17,25,NYG,5.1,N
Peyton Barber,RB,6.5,46,12.6,3.65,7.4,31,25,ATL,16.6,Y
Tarik Cohen,RB,10.6,34,6.4,5.31,51.8,26,21,MIA,16.1,Y
Todd Gurley,RB,25.8,103.83,21.5,4.83,41.17,20,14,SAN,26.6,Y
Melvin Gordon,RB,22.1,77.67,15.17,5.12,46.5,12,27,TEN,0,N
Saquon Barkley,RB,19.5,73,14,5.21,62.17,31,25,ATL,17.4,Y
David Johnson,RB,12.5,49.5,15.33,3.23,22.5,28,32,DEN,7,N
Matt Breida,RB,11.7,71.67,10.5,6.83,15,14,15,LAR,-0.5,N
Adrian Peterson,RB,12.7,67.8,15.4,4.4,27.2,9,8,DAL,10.7,N
Joe Mixon,RB,15.4,84,17.75,4.73,24.75,32,28,KC,5.1,N
Phillip Lindsay,RB,9.7,57.67,10.17,5.67,18.83,25,31,ARI,15.6,Y
Kenyan Drake ,RB,7.6,35,8.67,4.04,24.17,5,24,DET,14.7,Y
Ezekiel Elliot,RB,16.2,97.67,19.5,5.01,27.67,2,4,WAS,4.2,N
Kareem Hunt,RB,16.5,76,17.17,4.43,28.5,30,20,CIN,32.1,Y
Isaiah Crowell,RB,13,71.67,11.67,6.14,8,18,10,MIN,5,N
Chris Carson,RB,9.1,70.4,15.6,4.51,12.2,,,BYE,0,N
Jordan Howard,RB,7.8,54.4,15.6,3.49,15.6,21,18,NE,10.8,N
Aaron Jones,RB,7.2,47,8,5.88,10.25,,,BYE,0,N
Derrick Henry,RB,4.3,40,12,3.33,2.83,16,12,LAC,12.5,Y
Wendell Smallwood,RB,7,33.5,7.17,4.67,16,4,7,CAR,3.7,N
Peyton Barber,RB,6.5,46,12.6,3.65,7.4,29,30,CLE,3,N
Tarik Cohen,RB,10.6,34,6.4,5.31,51.8,21,18,NE,14.3,Y
Todd Gurley,RB,25.8,103.83,21.5,4.83,41.17,9,15,GB,27.5,Y
Melvin Gordon,RB,22.1,77.67,15.17,5.12,46.5,0,0,BYE,0,N
Saquon Barkley,RB,19.5,73,14,5.21,62.17,7,7,WAS,11.1,N
David Johnson,RB,12.5,49.5,15.33,3.23,22.5,28,23,SAN,10,N
Matt Breida,RB,11.7,71.67,10.5,6.83,15,17,32,ARI,4.2,N
Adrian Peterson,RB,12.7,67.8,15.4,4.4,27.2,19,20,NYG,25.6,Y
Joe Mixon,RB,15.4,84,17.75,4.73,24.75,32,21,TB,25.8,Y
Phillip Lindsay,RB,9.7,57.67,10.17,5.67,18.83,29,31,KC,17.2,Y
Kenyan Drake ,RB,7.6,35,8.67,4.04,24.17,8,13,HOU,21.5,Y
Ezekiel Elliot,RB,16.2,97.67,19.5,5.01,27.67,0,0,BYE,0,N
Kareem Hunt,RB,16.5,76,17.17,4.43,28.5,18,25,DEN,14.6,Y
Isaiah Crowell,RB,13,71.67,11.67,6.14,8,12,4,CHI,3.8,N
Chris Carson,RB,9.1,70.4,15.6,4.51,12.2,23,29,DET,18.4,N
Jordan Howard,RB,7.8,54.4,15.6,3.49,15.6,20,18,NYJ,14.1,Y
Aaron Jones,RB,7.2,47,8,5.88,10.25,6,8,LAR,14.6,Y
Derrick Henry,RB,4.3,40,12,3.33,2.83,0,0,BYE,0,N
Wendell Smallwood,RB,7,33.5,7.17,4.67,16,3,12,JAX,12.6,Y
Peyton Barber,RB,6.5,46,12.6,3.65,7.4,30,28,CIN,14.5,Y
Tarik Cohen,RB,10.6,34,6.4,5.31,51.8,20,18,NYJ,17,Y
