Name,Pos,Team,Avg Pts,Rush Yds/Gm,Rush Att/Gm,Rush Yds/ Att,Rec Yds/Gm,Opp Rank ,Opp PosRank,Opp Yds/Gm,Opp Pass Yds/Gm,Opp Rush Yds/Gm,Opp Pts/Gm,Div Rival?,Opp,Pts Scored,Over 12 Pts?
Todd Gurley,RB,LAR,25.8,103.83,21.5,4.83,41.17,28,32,380.8,247.6,133.1,23.5,N,DEN,34.5,Y
Melvin Gordon,RB,LAC,22.1,77.67,15.17,5.12,46.5,29,30,342.4,215,127.4,21.1,N,CLE,33,Y
Saquon Barkley,RB,NYG,19.5,73,14,5.21,62.17,15,5,366.9,260.3,106.6,22.3,Y,PHI,28.9,Y
David Johnson,RB,ARI,12.5,49.5,15.33,3.23,22.5,18,10,385.8,298.6,87.1,24.6,N,MIN,11,N
Matt Breida,RB,SAN,11.7,71.67,10.5,6.83,15,11,19,412.1,308.1,104,25,N,GB,12.1,Y
Adrian Peterson,RB,WAS,12.7,67.8,15.4,4.4,27.2,4,7,366.6,227.7,138.9,25.4,N,CAR,9.7,N
Joe Mixon,RB,CIN,15.4,84,17.75,4.73,24.75,22,13,418.1,318.1,100,29.1,Y,PIT,14.4,Y
Phillip Lindsay,RB,DEN,9.7,57.67,10.17,5.67,18.83,14,15,442.6,291.8,150.9,33,N,LAR,6.6,N
Kenyan Drake,RB,MIA,7.6,35,8.67,4.04,24.17,3,2,382.7,245.1,137.6,27.7,N,CHI,5.8,N
Ezekiel Elliot,RB,DAL,16.2,97.67,19.5,5.01,27.67,5,22,352.5,257.7,95,16.8,N,JAX,17.7,Y
Kareem Hunt,RB,KC,16.5,76,17.17,4.43,28.5,21,18,381.9,266.6,115.3,29.9,N,NE,24.5,Y
Isaiah Crowell,RB,NYJ,13,71.67,11.67,6.14,8,24,16,381.5,263.9,117.6,28.9,N,IND,5.2,N
Chris Carson,RB,SEA,9.1,70.4,15.6,4.51,12.2,27,29,369.7,275.7,94,19.7,N,OAK,5.9,N
Jordan Howard,RB,CHI,7.8,54.4,15.6,3.49,15.6,26,21,334.3,226.3,108,21.8,N,MIA,4.9,N
Aaron Jones,RB,GB,7.2,47,8,5.88,10.25,20,14,348.3,214.6,133.6,21.6,N,SAN,4.1,N
Derrick Henry,RB,TEN,4.3,40,12,3.33,2.83,1,6,379.3,282.6,96.6,24.6,N,BAL,2.6,N
Wendell Smallwood,RB,PHI,7,33.5,7.17,4.67,16,17,25,353.3,275.4,77.9,18.8,Y,NYG,5.1,N
Peyton Barber,RB,TB,6.5,46,12.6,3.65,7.4,31,25,401,317.7,83.3,27.1,Y,ATL,16.6,Y
Tarik Cohen,RB,CHI,10.6,34,6.4,5.31,51.8,26,21,334.3,226.3,108,21.8,N,MIA,16.1,Y
Todd Gurley,RB,LAR,25.8,103.83,21.5,4.83,41.17,20,14,348.3,214.6,133.6,21.6,Y,SAN,26.6,Y
Melvin Gordon,RB,LAC,22.1,77.67,15.17,5.12,46.5,12,27,280.9,173,107.9,15.1,N,TEN,0,N
Saquon Barkley,RB,NYG,19.5,73,14,5.21,62.17,31,25,401,317.7,83.3,27.1,N,ATL,17.4,Y
David Johnson,RB,ARI,12.5,49.5,15.33,3.23,22.5,28,32,380.8,247.6,133.1,23.5,N,DEN,7,N
Matt Breida,RB,SAN,11.7,71.67,10.5,6.83,15,14,15,442.6,291.8,150.9,33,Y,LAR,-0.5,N
Adrian Peterson,RB,WAS,12.7,67.8,15.4,4.4,27.2,9,8,320,183.1,136.9,20,Y,DAL,10.7,N
Joe Mixon,RB,CIN,15.4,84,17.75,4.73,24.75,32,28,425.3,310.4,114.9,36.3,N,KC,5.1,N
Phillip Lindsay,RB,DEN,9.7,57.67,10.17,5.67,18.83,25,31,233.3,165.8,67.5,13.8,N,ARI,15.6,Y
Kenyan Drake,RB,MIA,7.6,35,8.67,4.04,24.17,5,24,373.4,263.7,109.7,24.4,N,DET,14.7,Y
Ezekiel Elliot,RB,DAL,16.2,97.67,19.5,5.01,27.67,2,4,340.7,212.7,128,20.9,Y,WAS,4.2,N
Kareem Hunt,RB,KC,16.5,76,17.17,4.43,28.5,30,20,344.3,251.5,92.8,27.6,N,CIN,32.1,Y
Isaiah Crowell,RB,NYJ,13,71.67,11.67,6.14,8,18,10,385.8,298.6,87.1,24.6,N,MIN,5,N
Chris Carson,RB,SEA,9.1,70.4,15.6,4.51,12.2,0,0,0,0,0,0,N,BYE,0,N
Jordan Howard,RB,CHI,7.8,54.4,15.6,3.49,15.6,21,18,381.9,266.6,115.3,29.9,N,NE,10.8,N
Aaron Jones,RB,GB,7.2,47,8,5.88,10.25,0,0,0,0,0,0,N,BYE,0,N
Derrick Henry,RB,TEN,4.3,40,12,3.33,2.83,16,12,402.7,278.3,124.4,27.9,N,LAC,12.5,Y
Wendell Smallwood,RB,PHI,7,33.5,7.17,4.67,16,4,7,366.6,227.7,138.9,25.4,N,CAR,3.7,N
Peyton Barber,RB,TB,6.5,46,12.6,3.65,7.4,29,30,342.4,215,127.4,21.1,N,CLE,3,N
Tarik Cohen,RB,CHI,10.6,34,6.4,5.31,51.8,21,18,381.9,266.6,115.3,29.9,N,NE,14.3,Y
Todd Gurley,RB,LAR,25.8,103.83,21.5,4.83,41.17,9,15,412.1,308.1,104,25,N,GB,27.5,Y
Melvin Gordon,RB,LAC,22.1,77.67,15.17,5.12,46.5,0,0,0,0,0,0,N,BYE,0,N
Saquon Barkley,RB,NYG,19.5,73,14,5.21,62.17,7,7,340.7,212.7,128,20.9,Y,WAS,11.1,N
David Johnson,RB,ARI,12.5,49.5,15.33,3.23,22.5,28,23,348.3,214.6,133.6,21.6,Y,SAN,10,N
Matt Breida,RB,SAN,11.7,71.67,10.5,6.83,15,17,32,233.3,165.8,67.5,13.8,Y,ARI,4.2,N
Adrian Peterson,RB,WAS,12.7,67.8,15.4,4.4,27.2,19,20,353.3,275.4,77.9,18.8,Y,NYG,25.6,Y
