Name,Pos,Avg Pts,Rush Yds/Gm,Rush Att/Gm,Rush Yds/ Att,Rec Yds/Gm,Opp Rank ,Opp PosRank,Opp,Pts Scored,Over 12 Pts?
Todd Gurley,RB,25.8,103.83,21.5,4.83,41.17,28,32,DEN,34.5,Y
Melvin Gordon,RB,22.1,77.67,15.17,5.12,46.5,29,30,CLE,33,Y
Saquon Barkley,RB,19.5,73,14,5.21,62.17,15,5,PHI,28.9,Y
David Johnson,RB,12.5,49.5,15.33,3.23,22.5,18,10,MIN,11,N
Matt Breida,RB,11.7,71.67,10.5,6.83,15,11,19,GB,12.1,Y
Adrian Peterson,RB,12.7,67.8,15.4,4.4,27.2,4,7,CAR,9.7,N
Joe Mixon,RB,15.4,84,17.75,4.73,24.75,22,13,PIT,14.4,Y
Phillip Lindsay,RB,9.7,57.67,10.17,5.67,18.83,14,15,LAR,6.6,N
Kenyan Drake ,RB,7.6,35,8.67,4.04,24.17,3,2,CHI,5.8,N
Ezekiel Elliot,RB,16.2,97.67,19.5,5.01,27.67,5,22,JAX,17.7,Y
Kareem Hunt,RB,16.5,76,17.17,4.43,28.5,21,18,NE,24.5,Y
Isaiah Crowell,RB,13,71.67,11.67,6.14,8,24,16,IND,5.2,N
Chris Carson,RB,9.1,70.4,15.6,4.51,12.2,27,29,OAK,5.9,N
Jordan Howard,RB,7.8,54.4,15.6,3.49,15.6,26,21,MIA,4.9,N
Aaron Jones,RB,7.2,47,8,5.88,10.25,20,14,SAN,4.1,N
Derrick Henry,RB,4.3,40,12,3.33,2.83,1,6,BAL,2.6,N
Wendell Smallwood,RB,7,33.5,7.17,4.67,16,17,25,NYG,5.1,N
Peyton Barber,RB,6.5,46,12.6,3.65,7.4,31,25,ATL,16.6,Y
Tarik Cohen,RB,10.6,34,6.4,5.31,51.8,26,21,MIA,16.1,Y
