Name,Pos,Avg Pts,Rush Yds/Gm,Rush Att/Gm,Rush Yds/ Att,Rec Yds/Gm,Opp Rank ,Opp PosRank,Opp,Pts Scored,Over 12 Pts?
Todd Gurley,RB,25.8,103.83,21.5,4.83,41.17,20,14,SAN,,
Melvin Gordon,RB,22.1,77.67,15.17,5.12,46.5,12,27,TEN,,
Saquon Barkley,RB,19.5,73,14,5.21,62.17,31,25,ATL,,
David Johnson,RB,12.5,49.5,15.33,3.23,22.5,28,32,DEN,,
Matt Breida,RB,11.7,71.67,10.5,6.83,15,14,15,LAR,,
Adrian Peterson,RB,12.7,67.8,15.4,4.4,27.2,9,8,DAL,,
Joe Mixon,RB,15.4,84,17.75,4.73,24.75,32,28,KC,,
Phillip Lindsay,RB,9.7,57.67,10.17,5.67,18.83,25,31,ARI,,
Kenyan Drake ,RB,7.6,35,8.67,4.04,24.17,5,24,DET,,
Ezekiel Elliot,RB,16.2,97.67,19.5,5.01,27.67,2,4,WAS,,
Kareem Hunt,RB,16.5,76,17.17,4.43,28.5,30,20,CIN,,
Isaiah Crowell,RB,13,71.67,11.67,6.14,8,18,10,MIN,,
Chris Carson,RB,9.1,70.4,15.6,4.51,12.2,,,BYE,,
Jordan Howard,RB,7.8,54.4,15.6,3.49,15.6,21,18,NE,,
Aaron Jones,RB,7.2,47,8,5.88,10.25,,,BYE,,
Derrick Henry,RB,4.3,40,12,3.33,2.83,16,12,LAC,,
Wendell Smallwood,RB,7,33.5,7.17,4.67,16,4,7,CAR,,
Peyton Barber,RB,6.5,46,12.6,3.65,7.4,29,30,CLE,,
Tarik Cohen,RB,10.6,34,6.4,5.31,51.8,21,18,NE,,
