Name,Pos,Team,Avg Pts,Rush Yds/Gm,Rush Att/Gm,Rush Yds/ Att,Rec Yds/Gm,Opp Rank ,Opp PosRank,Opp Yds/Gm,Opp Pass Yds/Gm,Opp Rush Yds/Gm,Opp Pts/Gm,Div Rival?,Opp,Pts Scored,Over 12 Pts?
Todd Gurley,RB,LAR,25.9,100,21.13,4.73,43.88,26,5,389.9,281.9,108,33.4,N,NO,,
Melvin Gordon,RB,LAC,22.1,77.67,15.17,5.12,46.5,3,12,337.6,202.9,134.7,24.4,N,SEA,,
Saquon Barkley,RB,NYG,19.2,64.88,13.88,4.68,62.13,0,0,0,0,0,0,N,BYE,,
David Johnson,RB,ARI,11.7,49.25,15.25,3.23,25.88,0,0,0,0,0,0,N,BYE,,
Matt Breida,RB,SAN,9.9,60.88,10.5,5.8,11.25,29,30,369.7,275.7,94,19.7,N,OAK,,
Adrian Peterson,RB,WAS,12.4,83.86,18.14,4.62,21.57,30,25,401,317.7,83.3,27.1,N,ATL,,
Joe Mixon,RB,CIN,13.3,84.83,17.5,4.85,19.17,0,0,0,0,0,0,N,BYE,,
Phillip Lindsay,RB,DEN,10.5,66.38,11.63,5.71,17,9,14,379,256,123,24.6,N,HOU,,
Kenyan Drake,RB,MIA,8.6,42.5,8.75,4.86,24.63,20,19,314.1,200.4,113.8,24,Y,NYJ,,
Ezekiel Elliot,RB,DAL,14.5,88.43,18.86,4.69,25,5,6,280.9,173,107.9,15.1,N,TEN,,
Kareem Hunt,RB,KC,18.7,74,16.75,4.42,32.75,21,27,342.4,215,127.4,21.1,N,CLE,,
Isaiah Crowell,RB,NYJ,11.8,60.5,11.75,5.15,10.25,25,29,334.3,226.3,108,21.8,Y,MIA,,
Chris Carson,RB,SEA,9.1,76.17,17.17,4.44,13.33,15,16,402.7,278.3,124.4,27.9,N,LAC,,
Jordan Howard,RB,CHI,8.3,56,16,3.5,12.43,10,22,246.4,149.1,97.3,10.9,N,BUF,,
Aaron Jones,RB,GB,7.2,54.8,8.8,6.23,8.2,24,17,381.9,266.6,115.3,29.9,N,NE,,
Derrick Henry,RB,TEN,5.5,39,12,3.25,7,2,8,320,183.1,136.9,20,N,DAL,,
Wendell Smallwood,RB,PHI,6.5,32.13,7.5,4.28,17.88,0,0,0,0,0,0,N,BYE,,
Peyton Barber,RB,TB,6,49.29,13.29,3.71,5.29,14,11,366.6,227.7,138.9,25.4,Y,CAR,,
Tarik Cohen,RB,CHI,11.2,32,6.14,5.21,56.86,10,22,246.4,149.1,97.3,10.9,N,BUF,,
